,,,Node1,Node2,Node3,Node4
period1,sc01,t0433,, 2.5 , 2.5 ,
period1,sc01,t0434,, 2.5 , 2.5 ,
period1,sc01,t0435,, 2.5 , 2.5 ,
period1,sc01,t0436,, 2.5 , 2.5 ,
period1,sc01,t0437,, 2.5 , 2.5 ,
period1,sc01,t0438,, 2.5 , 2.5 ,
period1,sc01,t0439,, 2.5 , 2.5 ,
period1,sc01,t0440,, 2.5 , 2.5 ,
period1,sc01,t0441,, 2.5 , 2.5 ,
period1,sc01,t0442,, 2.5 , 2.5 ,
period1,sc01,t0443,, 2.5 , 2.5 ,
period1,sc01,t0444,, 2.5 , 2.5 ,
period1,sc01,t0445,, 2.5 , 2.5 ,
period1,sc01,t0446,, 2.5 , 2.5 ,
period1,sc01,t0447,, 2.5 , 2.5 ,
period1,sc01,t0448,, 2.5 , 2.5 ,
period1,sc01,t0449,, 2.5 , 2.5 ,
period1,sc01,t0450,, 2.5 , 2.5 ,
period1,sc01,t0451,, 2.5 , 2.5 ,
period1,sc01,t0452,, 2.5 , 2.5 ,
period1,sc01,t0453,, 2.5 , 2.5 ,
period1,sc01,t0454,, 2.5 , 2.5 ,
period1,sc01,t0455,, 2.5 , 2.5 ,
period1,sc01,t0456,, 2.5 , 2.5 ,
period1,sc01,t0457,, 2.5 , 2.5 ,
period1,sc01,t0458,, 2.5 , 2.5 ,
period1,sc01,t0459,, 2.5 , 2.5 ,
period1,sc01,t0460,, 2.5 , 2.5 ,
period1,sc01,t0461,, 2.5 , 2.5 ,
period1,sc01,t0462,, 2.5 , 2.5 ,
period1,sc01,t0463,, 2.5 , 2.5 ,
period1,sc01,t0464,, 2.5 , 2.5 ,
period1,sc01,t0465,, 2.5 , 2.5 ,
period1,sc01,t0466,, 2.5 , 2.5 ,
period1,sc01,t0467,, 2.5 , 2.5 ,
period1,sc01,t0468,, 2.5 , 2.5 ,
period1,sc01,t0469,, 2.5 , 2.5 ,
period1,sc01,t0470,, 2.5 , 2.5 ,
period1,sc01,t0471,, 2.5 , 2.5 ,
period1,sc01,t0472,, 2.5 , 2.5 ,
period1,sc01,t0473,, 2.5 , 2.5 ,
period1,sc01,t0474,, 2.5 , 2.5 ,
period1,sc01,t0475,, 2.5 , 2.5 ,
period1,sc01,t0476,, 2.5 , 2.5 ,
period1,sc01,t0477,, 2.5 , 2.5 ,
period1,sc01,t0478,, 2.5 , 2.5 ,
period1,sc01,t0479,, 2.5 , 2.5 ,
period1,sc01,t0480,, 2.5 , 2.5 ,
period1,sc01,t0481,, 2.5 , 2.5 ,
period1,sc01,t0482,, 2.5 , 2.5 ,
period1,sc01,t0483,, 2.5 , 2.5 ,
period1,sc01,t0484,, 2.5 , 2.5 ,
period1,sc01,t0485,, 2.5 , 2.5 ,
period1,sc01,t0486,, 2.5 , 2.5 ,
period1,sc01,t0487,, 2.5 , 2.5 ,
period1,sc01,t0488,, 2.5 , 2.5 ,
period1,sc01,t0489,, 2.5 , 2.5 ,
period1,sc01,t0490,, 2.5 , 2.5 ,
period1,sc01,t0491,, 2.5 , 2.5 ,
period1,sc01,t0492,, 2.5 , 2.5 ,
period1,sc01,t0493,, 2.5 , 2.5 ,
period1,sc01,t0494,, 2.5 , 2.5 ,
