,Period,Scenario,LoadLevel,Date,Component,MW
256,period1,sc01,t0129,2024-09-21 20:29:00,BESS,0.0
257,period1,sc01,t0129,2024-09-21 20:29:00,Wind,9.9275
258,period1,sc01,t0130,2024-09-21 21:29:00,BESS,0.22923682881670782
259,period1,sc01,t0130,2024-09-21 21:29:00,Wind,7.733
260,period1,sc01,t0131,2024-09-21 22:29:00,BESS,3.1552368288167068
261,period1,sc01,t0131,2024-09-21 22:29:00,Wind,4.807
262,period1,sc01,t0132,2024-09-21 23:29:00,BESS,0.3337368288167074
263,period1,sc01,t0132,2024-09-21 23:29:00,Wind,7.6285
264,period1,sc01,t0133,2024-09-22 00:29:00,BESS,0.0
265,period1,sc01,t0133,2024-09-22 00:29:00,Wind,9.7185
266,period1,sc01,t0134,2024-09-22 01:29:00,BESS,0.0
267,period1,sc01,t0134,2024-09-22 01:29:00,Wind,10.241
268,period1,sc01,t0135,2024-09-22 02:29:00,BESS,0.0
269,period1,sc01,t0135,2024-09-22 02:29:00,Wind,10.868
270,period1,sc01,t0136,2024-09-22 03:29:00,BESS,0.0
271,period1,sc01,t0136,2024-09-22 03:29:00,Wind,12.749000000000002
272,period1,sc01,t0137,2024-09-22 04:29:00,BESS,0.0
273,period1,sc01,t0137,2024-09-22 04:29:00,Wind,17.6605
274,period1,sc01,t0138,2024-09-22 05:29:00,BESS,0.0
275,period1,sc01,t0138,2024-09-22 05:29:00,Wind,22.154
276,period1,sc01,t0139,2024-09-22 06:29:00,BESS,0.0
277,period1,sc01,t0139,2024-09-22 06:29:00,Wind,22.154
278,period1,sc01,t0140,2024-09-22 07:29:00,BESS,0.0
279,period1,sc01,t0140,2024-09-22 07:29:00,Wind,20.064000000000004
280,period1,sc01,t0141,2024-09-22 08:29:00,BESS,17.684384270324816
281,period1,sc01,t0141,2024-09-22 08:29:00,Wind,16.929
282,period1,sc01,t0142,2024-09-22 09:29:00,BESS,0.0
283,period1,sc01,t0142,2024-09-22 09:29:00,Wind,14.003
284,period1,sc01,t0143,2024-09-22 10:29:00,BESS,0.0
285,period1,sc01,t0143,2024-09-22 10:29:00,Wind,12.0175
286,period1,sc01,t0144,2024-09-22 11:29:00,BESS,0.0
287,period1,sc01,t0144,2024-09-22 11:29:00,Wind,11.3905
288,period1,sc01,t0145,2024-09-22 12:29:00,BESS,0.0
289,period1,sc01,t0145,2024-09-22 12:29:00,Wind,12.0175
290,period1,sc01,t0146,2024-09-22 13:29:00,BESS,0.0
291,period1,sc01,t0146,2024-09-22 13:29:00,Wind,12.8535
292,period1,sc01,t0147,2024-09-22 14:29:00,BESS,0.0
293,period1,sc01,t0147,2024-09-22 14:29:00,Wind,12.8535
294,period1,sc01,t0148,2024-09-22 15:29:00,BESS,0.0
295,period1,sc01,t0148,2024-09-22 15:29:00,Wind,10.345500000000001
296,period1,sc01,t0149,2024-09-22 16:29:00,BESS,0.0
297,period1,sc01,t0149,2024-09-22 16:29:00,Wind,7.0015
298,period1,sc01,t0150,2024-09-22 17:29:00,BESS,3.4614680000000013
299,period1,sc01,t0150,2024-09-22 17:29:00,Wind,4.4935
300,period1,sc01,t0151,2024-09-22 18:29:00,BESS,0.0
301,period1,sc01,t0151,2024-09-22 18:29:00,Wind,3.2395
302,period1,sc01,t0152,2024-09-22 19:29:00,BESS,0.0
303,period1,sc01,t0152,2024-09-22 19:29:00,Wind,2.8215
304,period1,sc01,t0153,2024-09-22 20:29:00,BESS,25.599982000000022
305,period1,sc01,t0153,2024-09-22 20:29:00,Wind,2.5080000000000005
306,period1,sc01,t0154,2024-09-22 21:29:00,BESS,0.0
307,period1,sc01,t0154,2024-09-22 21:29:00,Wind,1.672
308,period1,sc01,t0155,2024-09-22 22:29:00,BESS,0.0
309,period1,sc01,t0155,2024-09-22 22:29:00,Wind,1.1495
310,period1,sc01,t0156,2024-09-22 23:29:00,BESS,0.0
311,period1,sc01,t0156,2024-09-22 23:29:00,Wind,2.299
312,period1,sc01,t0157,2024-09-23 00:29:00,BESS,0.0
313,period1,sc01,t0157,2024-09-23 00:29:00,Wind,3.6575
314,period1,sc01,t0158,2024-09-23 01:29:00,BESS,0.0
315,period1,sc01,t0158,2024-09-23 01:29:00,Wind,3.9710000000000005
316,period1,sc01,t0159,2024-09-23 02:29:00,BESS,0.0
317,period1,sc01,t0159,2024-09-23 02:29:00,Wind,4.389
318,period1,sc01,t0160,2024-09-23 03:29:00,BESS,0.0
319,period1,sc01,t0160,2024-09-23 03:29:00,Wind,5.016000000000001
320,period1,sc01,t0161,2024-09-23 04:29:00,BESS,0.0
321,period1,sc01,t0161,2024-09-23 04:29:00,Wind,7.419500000000001
322,period1,sc01,t0162,2024-09-23 05:29:00,BESS,50.0
323,period1,sc01,t0162,2024-09-23 05:29:00,Wind,8.778
324,period1,sc01,t0163,2024-09-23 06:29:00,BESS,50.0
325,period1,sc01,t0163,2024-09-23 06:29:00,Wind,8.4645
326,period1,sc01,t0164,2024-09-23 07:29:00,BESS,0.0
327,period1,sc01,t0164,2024-09-23 07:29:00,Wind,8.151
328,period1,sc01,t0165,2024-09-23 08:29:00,BESS,0.0
329,period1,sc01,t0165,2024-09-23 08:29:00,Wind,8.778
330,period1,sc01,t0166,2024-09-23 09:29:00,BESS,0.0
331,period1,sc01,t0166,2024-09-23 09:29:00,Wind,10.345500000000001
332,period1,sc01,t0167,2024-09-23 10:29:00,BESS,0.0
333,period1,sc01,t0167,2024-09-23 10:29:00,Wind,12.54
334,period1,sc01,t0168,2024-09-23 11:29:00,BESS,0.0
335,period1,sc01,t0168,2024-09-23 11:29:00,Wind,14.7345
