Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,Date,MW
period1,sc01,t0070,Node2,Node4,p1,2024-09-19 09:29:00,-0.0
period1,sc01,t0070,Node3,Node4,p1,2024-09-19 09:29:00,0.14012792459181972
period1,sc01,t0071,Node2,Node3,p1,2024-09-19 10:29:00,0.14012792459181972
period1,sc01,t0071,Node2,Node4,p1,2024-09-19 10:29:00,-0.0
period1,sc01,t0071,Node3,Node4,p1,2024-09-19 10:29:00,0.14012792459181972
period1,sc01,t0072,Node2,Node3,p1,2024-09-19 11:29:00,0.14012792459181972
period1,sc01,t0072,Node2,Node4,p1,2024-09-19 11:29:00,-0.0
period1,sc01,t0072,Node3,Node4,p1,2024-09-19 11:29:00,0.14012792459181972
period1,sc01,t0073,Node2,Node3,p1,2024-09-19 12:29:00,0.14012792459181972
period1,sc01,t0073,Node2,Node4,p1,2024-09-19 12:29:00,-0.0
period1,sc01,t0073,Node3,Node4,p1,2024-09-19 12:29:00,0.14012792459181972
period1,sc01,t0074,Node2,Node3,p1,2024-09-19 13:29:00,0.14012792459181972
period1,sc01,t0074,Node2,Node4,p1,2024-09-19 13:29:00,-0.0
period1,sc01,t0074,Node3,Node4,p1,2024-09-19 13:29:00,0.14012792459181972
period1,sc01,t0075,Node2,Node3,p1,2024-09-19 14:29:00,0.14012792459181972
period1,sc01,t0075,Node2,Node4,p1,2024-09-19 14:29:00,-0.0
period1,sc01,t0075,Node3,Node4,p1,2024-09-19 14:29:00,0.14012792459181972
period1,sc01,t0076,Node2,Node3,p1,2024-09-19 15:29:00,0.14012792459181972
period1,sc01,t0076,Node2,Node4,p1,2024-09-19 15:29:00,-0.0
period1,sc01,t0076,Node3,Node4,p1,2024-09-19 15:29:00,0.14012792459181972
period1,sc01,t0077,Node2,Node3,p1,2024-09-19 16:29:00,0.14012792459181972
period1,sc01,t0077,Node2,Node4,p1,2024-09-19 16:29:00,-0.0
period1,sc01,t0077,Node3,Node4,p1,2024-09-19 16:29:00,0.14012792459181972
period1,sc01,t0078,Node2,Node3,p1,2024-09-19 17:29:00,0.14012792459181972
period1,sc01,t0078,Node2,Node4,p1,2024-09-19 17:29:00,-0.0
period1,sc01,t0078,Node3,Node4,p1,2024-09-19 17:29:00,0.14012792459181972
period1,sc01,t0079,Node2,Node3,p1,2024-09-19 18:29:00,0.14012792459181972
period1,sc01,t0079,Node2,Node4,p1,2024-09-19 18:29:00,-0.0
period1,sc01,t0079,Node3,Node4,p1,2024-09-19 18:29:00,0.14012792459181972
period1,sc01,t0080,Node2,Node3,p1,2024-09-19 19:29:00,0.14012792459181972
period1,sc01,t0080,Node2,Node4,p1,2024-09-19 19:29:00,-0.0
period1,sc01,t0080,Node3,Node4,p1,2024-09-19 19:29:00,0.14012792459181972
period1,sc01,t0081,Node2,Node3,p1,2024-09-19 20:29:00,0.14012792459181972
period1,sc01,t0081,Node2,Node4,p1,2024-09-19 20:29:00,-0.0
period1,sc01,t0081,Node3,Node4,p1,2024-09-19 20:29:00,0.14012792459181972
period1,sc01,t0082,Node2,Node3,p1,2024-09-19 21:29:00,0.14012792459181972
period1,sc01,t0082,Node2,Node4,p1,2024-09-19 21:29:00,-0.0
period1,sc01,t0082,Node3,Node4,p1,2024-09-19 21:29:00,0.14012792459181972
period1,sc01,t0083,Node2,Node3,p1,2024-09-19 22:29:00,0.14012792459181972
period1,sc01,t0083,Node2,Node4,p1,2024-09-19 22:29:00,-0.0
period1,sc01,t0083,Node3,Node4,p1,2024-09-19 22:29:00,0.14012792459181972
