,,,SolarPV_01,Wind_01,BESS_01,AEL_01,PEMEL_01
period1,sc01,t0348, 5.24783818 , 1.50155339805825 ,,,
period1,sc01,t0349, 5.8456704575 , 1.76533980582524 ,,,
period1,sc01,t0350, 5.657223535 , 1.92766990291262 ,,,
period1,sc01,t0351, 4.9783584525 , 1.86679611650485 ,,,
period1,sc01,t0352, 3.7206503075 , 1.56242718446602 ,,,
period1,sc01,t0353, 1.99177721825 , 1.19718446601942 ,,,
period1,sc01,t0354, 0.42968914375 , 0.750776699029126 ,,,
period1,sc01,t0355, 1.72101376666667E-04 , 0.405825242718447 ,,,
period1,sc01,t0356, 0.00000498976 , 0.223203883495146 ,,,
period1,sc01,t0357, 5.53409833333333E-06 , 0.142038834951456 ,,,
period1,sc01,t0358, 3.26602583333333E-06 , 0.162330097087379 ,,,
period1,sc01,t0359, 3.35674833333333E-06 , 0.324660194174757 ,,,
period1,sc01,t0360, 3.26602583333333E-06 , 0.547864077669903 ,,,
period1,sc01,t0361, 0.000003901085 , 0.831941747572816 ,,,
period1,sc01,t0362, 5.08048333333333E-06 , 0.994271844660194 ,,,
period1,sc01,t0363, 0.0000047175925 , 1.09572815533981 ,,,
period1,sc01,t0364, 0.0000044454225 , 0.95368932038835 ,,,
period1,sc01,t0365, 0.000003901085 , 0.750776699029126 ,,,
period1,sc01,t0366, 0.0000043547 , 0.568155339805825 ,,,
period1,sc01,t0367, 5.17120583333333E-06 , 0.426116504854369 ,,,
period1,sc01,t0368, 0.0001214779875 , 0.365242718446602 ,,,
period1,sc01,t0369, 0.03319642305 , 0.385533980582524 ,,,
period1,sc01,t0370, 1.0241111485 , 0.649320388349515 ,,,
period1,sc01,t0371, 3.4113822275 , 0.994271844660194 ,,,
period1,sc01,t0372, 4.76734874 , 1.29864077669903 ,,,
period1,sc01,t0373, 5.367529835 , 1.7247572815534 ,,,
period1,sc01,t0374, 5.68586385 , 2.02912621359223 ,,,
period1,sc01,t0375, 5.45893227 , 2.09 ,,,
